route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
9559,c_5988_b_6309_d_31,t_208646_b_6309_tn_0,,,0,12527,p_176868,,,,,,,,,,
9559,c_5988_b_6309_d_31,t_208831_b_6309_tn_0,,,0,12527,p_176869,,,,,,,,,,
9559,c_5988_b_6309_d_31,t_209039_b_6309_tn_0,,Cinquentenário,0,12513,p_176858,,,,,,,,,,
9559,c_5988_b_6309_d_31,t_209061_b_6309_tn_0,,,0,12513,p_176859,,,,,,,,,,
9559,c_5988_b_6309_d_31,t_209066_b_6309_tn_0,,,0,12520,p_176865,,,,,,,,,,
9560,c_5988_b_6309_d_31,t_540199_b_6309_tn_0,,Monte Verde,1,12515,p_176873,,,,,,,,,,
9560,c_5988_b_6309_d_31,t_540198_b_6309_tn_0,,Monte Verde,1,12515,p_176873,,,,,,,,,,
9560,c_5988_b_6309_d_31,t_540200_b_6309_tn_0,,Monte Verde,1,12515,p_176873,,,,,,,,,,
9561,c_5988_b_6309_d_31,t_247681_b_6309_tn_0,,Praça,0,12519,p_176875,,,,,,,,,,
9561,c_5988_b_6309_d_31,t_540203_b_6309_tn_0,,Praça,0,12515,p_176874,,,,,,,,,,
9561,c_5988_b_6309_d_31,t_540202_b_6309_tn_0,,Praça,0,12515,p_176874,,,,,,,,,,
9561,c_5988_b_6309_d_31,t_540201_b_6309_tn_0,,Praça,0,12515,p_176874,,,,,,,,,,
9561,c_5988_b_6309_d_31,t_247682_b_6309_tn_0,,Praça,0,12519,p_176875,,,,,,,,,,
9563,c_5988_b_6309_d_31,t_537803_b_6309_tn_0,,Praça,1,12516,p_176879,,,,,,,,,,
9563,c_5988_b_6309_d_31,t_247631_b_6309_tn_0,,Praça,1,12516,p_178086,,,,,,,,,,
9563,c_5988_b_6309_d_31,t_247626_b_6309_tn_0,,Praça,1,12516,p_176878,,,,,,,,,,
9563,c_5988_b_6309_d_31,t_247624_b_6309_tn_0,,Praça,1,12516,p_176878,,,,,,,,,,
9564,c_5988_b_6309_d_31,t_537804_b_6309_tn_0,,Centenário,0,12516,p_176880,,,,,,,,,,
9565,c_5988_b_6309_d_31,t_537805_b_6309_tn_0,,Praça,1,12516,p_176881,,,,,,,,,,
9565,c_5988_b_6309_d_31,t_247676_b_6309_tn_0,,Praça,1,12516,p_176882,,,,,,,,,,
9566,c_5988_b_6309_d_31,t_247619_b_6309_tn_0,,Medianeira,0,12516,p_176883,,,,,,,,,,
